SOCCode	Element_ID	Element_Name	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	2.C.3.a	Computers and Electronics	63.669686015		All occ	71578.863164	1	All occupations	5	0
00-0000	2.C.3.a	Computers and Electronics	57.701934594		All occ	98728.763313	2	All occupations	5	0
00-0000	2.C.3.a	Computers and Electronics	50.430432005		All occ	95124.943735	3	All occupations	5	0
00-0000	2.C.3.b	Engineering and Technology	36.18457912		All occ	26491.934216	0	All occupations	1	0
00-0000	2.C.3.b	Engineering and Technology	28.203325773		All occ	19521.49391	1	All occupations	1	0
00-0000	2.C.3.b	Engineering and Technology	19.139434997		All occ	20199.397056	2	All occupations	1	0
00-0000	2.C.3.b	Engineering and Technology	12.81702439		All occ	19800.568708	3	All occupations	1	0
00-0000	2.C.3.b	Engineering and Technology	49.918982419		All occ	40354.420168	0	All occupations	2	0
00-0000	2.C.3.b	Engineering and Technology	36.60787403		All occ	33489.356632	1	All occupations	2	0
00-0000	2.C.3.b	Engineering and Technology	24.707801022		All occ	28115.847743	2	All occupations	2	0
00-0000	2.C.3.b	Engineering and Technology	13.606156898		All occ	26790.032649	3	All occupations	2	0
00-0000	2.C.3.b	Engineering and Technology	62.736926856		All occ	50647.059126	0	All occupations	3	0
00-0000	2.C.3.b	Engineering and Technology	46.86672582		All occ	45563.542201	1	All occupations	3	0
00-0000	2.C.3.b	Engineering and Technology	27.434647637		All occ	49932.958514	2	All occupations	3	0
00-0000	2.C.3.b	Engineering and Technology	14.206721448		All occ	35256.729394	3	All occupations	3	0
00-0000	2.C.3.b	Engineering and Technology	77.695175969		All occ	86028.217787	0	All occupations	4	0
00-0000	2.C.3.b	Engineering and Technology	48.636809527		All occ	81019.690895	1	All occupations	4	0
00-0000	2.C.3.b	Engineering and Technology	28.871895399		All occ	67492.046026	2	All occupations	4	0
00-0000	2.C.3.b	Engineering and Technology	14.569748523		All occ	57811.087898	3	All occupations	4	0
00-0000	2.C.3.b	Engineering and Technology	65.857130753		All occ	105620.67393	0	All occupations	5	0
00-0000	2.C.3.b	Engineering and Technology	32.811731449		All occ	86203.152771	1	All occupations	5	0
00-0000	2.C.3.b	Engineering and Technology	22.925059338		All occ	72552.055365	2	All occupations	5	0
00-0000	2.C.3.b	Engineering and Technology	15.724006856		All occ	95758.347872	3	All occupations	5	0
00-0000	2.C.3.c	Design	37.819413391		All occ	27077.971308	0	All occupations	1	0
00-0000	2.C.3.c	Design	24.733987602		All occ	19518.573647	1	All occupations	1	0
00-0000	2.C.3.c	Design	17.844030572		All occ	19555.67193	2	All occupations	1	0
00-0000	2.C.3.c	Design	11.91362826		All occ	20393.916221	3	All occupations	1	0
00-0000	2.C.3.c	Design	52.534049712		All occ	39890.093228	0	All occupations	2	0
00-0000	2.C.3.c	Design	32.438098221		All occ	27476.471	1	All occupations	2	0
00-0000	2.C.3.c	Design	20.52247031		All occ	28945.740761	2	All occupations	2	0
00-0000	2.C.3.c	Design	8.9744788475		All occ	27649.286012	3	All occupations	2	0
00-0000	2.C.3.c	Design	63.024311437		All occ	52187.913396	0	All occupations	3	0
00-0000	2.C.3.c	Design	42.469480384		All occ	43133.050294	1	All occupations	3	0
00-0000	2.C.3.c	Design	20.929087023		All occ	41876.578405	2	All occupations	3	0
00-0000	2.C.3.c	Design	12.276767814		All occ	38745.566081	3	All occupations	3	0
00-0000	2.C.3.c	Design	73.049076944		All occ	86507.031722	0	All occupations	4	0
00-0000	2.C.3.c	Design	45.094486426		All occ	86581.120486	1	All occupations	4	0
00-0000	2.C.3.c	Design	29.313382623		All occ	64738.512379	2	All occupations	4	0
00-0000	2.C.3.c	Design	14.608221466		All occ	58903.151554	3	All occupations	4	0
00-0000	2.C.3.c	Design	56.310999479		All occ	104157.84744	0	All occupations	5	0
00-0000	2.C.3.c	Design	33.235333107		All occ	82777.067165	1	All occupations	5	0
00-0000	2.C.3.c	Design	20.263590079		All occ	88653.14391	2	All occupations	5	0
00-0000	2.C.3.c	Design	12.11377559		All occ	86816.407596	3	All occupations	5	0
00-0000	2.C.3.d	Building and Construction	43.203374725		All occ	30394.430373	0	All occupations	1	0
00-0000	2.C.3.d	Building and Construction	25.956383256		All occ	22460.232639	1	All occupations	1	0
00-0000	2.C.3.d	Building and Construction	13.275870538		All occ	19911.827865	2	All occupations	1	0
00-0000	2.C.3.d	Building and Construction	7.7031719917		All occ	19358.782671	3	All occupations	1	0
00-0000	2.C.3.d	Building and Construction	65.585849727		All occ	37496.470956	0	All occupations	2	0
00-0000	2.C.3.d	Building and Construction	26.321668252		All occ	33509.07211	1	All occupations	2	0
